epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.598,1.59984,4.55619,0.02268,0.42034,0.37443,0.36341,0.12194,2.11899,6.51041,0.03877,0.000551359,0.000551359,0.000551359
2,225.008,1.60157,2.99094,0.02429,0.48898,0.4724,0.44753,0.12489,2.34409,3.92347,0.0431,0.00109607,0.00109607,0.00109607
3,344.894,1.62837,2.24966,0.02458,0.54921,0.52076,0.49912,0.16827,2.30489,2.62177,0.03984,0.00162977,0.00162977,0.00162977
4,468.587,1.65317,1.88437,0.02522,0.5719,0.44171,0.4771,0.15895,2.3405,2.60814,0.04252,0.00161749,0.00161749,0.00161749
5,589.488,1.60356,1.69831,0.02409,0.59242,0.54044,0.55736,0.19811,2.39886,1.99528,0.0412,0.00160099,0.00160099,0.00160099
6,704.227,1.61348,1.62236,0.02414,0.50194,0.54667,0.50546,0.16393,2.35302,2.40392,0.04203,0.00158448,0.00158448,0.00158448
7,823.463,1.57112,1.52374,0.02338,0.6449,0.59184,0.60693,0.2424,2.23066,1.90125,0.03776,0.00156798,0.00156798,0.00156798
8,952.546,1.53666,1.46392,0.02246,0.62592,0.5746,0.59809,0.19919,2.33327,1.95421,0.04071,0.00155148,0.00155148,0.00155148
9,1081.93,1.54644,1.43931,0.02269,0.65543,0.5613,0.57222,0.21659,2.3933,1.90387,0.04172,0.00153497,0.00153497,0.00153497
10,1210.35,1.53779,1.3927,0.02295,0.68014,0.61445,0.62298,0.21383,2.42773,1.84286,0.04186,0.00151847,0.00151847,0.00151847
11,1339.89,1.5085,1.36763,0.02212,0.6464,0.57929,0.62364,0.24081,2.31037,1.70517,0.04006,0.00150197,0.00150197,0.00150197
12,1468.77,1.5096,1.31829,0.02222,0.5896,0.61215,0.57318,0.17101,2.53434,2.01816,0.04776,0.00148546,0.00148546,0.00148546
