epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,551.993,1.74699,4.68157,0.02308,0.31423,0.1594,0.09964,0.03234,2.70041,7.66989,0.03058,0.000663212,0.000663212,0.000663212
2,1642.63,1.80565,2.92986,0.02497,0.40288,0.25204,0.19225,0.07212,2.68164,4.89322,0.03065,0.00131671,0.00131671,0.00131671
3,1835.1,1.86786,2.4522,0.0266,0.2585,0.1376,0.09269,0.02778,2.73237,4.48778,0.03108,0.00195701,0.00195701,0.00195701
4,2012.49,1.87332,2.28808,0.02552,0.45971,0.19755,0.17304,0.05349,2.7347,4.55132,0.03224,0.0019406,0.0019406,0.0019406
5,2192.94,1.85351,2.21054,0.02556,0.35166,0.21662,0.16516,0.05334,2.62857,4.21926,0.03273,0.0019208,0.0019208,0.0019208
6,2639.51,1.7845,2.10203,0.02448,0.39757,0.28052,0.20962,0.06952,2.69122,4.02836,0.03241,0.001901,0.001901,0.001901
7,2817.79,1.79101,2.04929,0.02468,0.42817,0.25341,0.20959,0.05974,2.70675,4.05881,0.03395,0.0018812,0.0018812,0.0018812
8,2999.22,1.77072,2.02254,0.02453,0.50933,0.15395,0.14262,0.04226,2.64548,4.17397,0.03226,0.0018614,0.0018614,0.0018614
9,3183.41,1.75697,1.9304,0.02382,0.49567,0.20845,0.18609,0.061,2.62338,4.05216,0.03204,0.0018416,0.0018416,0.0018416
10,3365.66,1.71649,1.94965,0.02336,0.4769,0.17575,0.1673,0.05609,2.65662,4.08816,0.03122,0.0018218,0.0018218,0.0018218
11,3549.2,1.71313,1.90076,0.02297,0.48272,0.27929,0.25351,0.08865,2.63767,3.85208,0.03081,0.001802,0.001802,0.001802
12,3737.08,1.7075,1.84177,0.023,0.44578,0.25341,0.22516,0.08134,2.58334,3.89146,0.03017,0.0017822,0.0017822,0.0017822
13,3950.66,1.68475,1.83253,0.02267,0.55162,0.1894,0.20861,0.08264,2.62309,4.11743,0.03013,0.0017624,0.0017624,0.0017624
14,4185.09,1.67147,1.78514,0.0223,0.43584,0.1042,0.12001,0.03659,2.54817,4.33,0.03113,0.0017426,0.0017426,0.0017426
15,4399.22,1.6733,1.79148,0.02261,0.42377,0.26158,0.19758,0.06821,2.60248,3.98478,0.03069,0.0017228,0.0017228,0.0017228
16,4618.14,1.64938,1.72978,0.0218,0.60316,0.13351,0.1773,0.06423,2.60374,4.11057,0.02974,0.001703,0.001703,0.001703
17,4839.47,1.68274,1.76548,0.02225,0.48264,0.12943,0.15147,0.0548,2.5443,4.13775,0.02987,0.0016832,0.0016832,0.0016832
18,5062.2,1.63839,1.6896,0.02158,0.54431,0.18937,0.18862,0.07255,2.60016,4.04889,0.03106,0.0016634,0.0016634,0.0016634
19,5275.8,1.62707,1.70583,0.02151,0.51848,0.10709,0.12175,0.04388,2.58672,4.30158,0.03006,0.0016436,0.0016436,0.0016436
20,5501.83,1.61558,1.66947,0.02117,0.57664,0.2134,0.22131,0.08384,2.60691,3.95971,0.03082,0.0016238,0.0016238,0.0016238
21,5730.89,1.61589,1.67838,0.02105,0.60619,0.1594,0.1931,0.08042,2.57695,4.0372,0.02821,0.001604,0.001604,0.001604
22,5965.6,1.6068,1.64051,0.02069,0.73003,0.08992,0.17547,0.0687,2.52488,4.30047,0.02819,0.0015842,0.0015842,0.0015842
23,6432.02,1.59301,1.64559,0.02087,0.50037,0.26567,0.24835,0.09754,2.60338,3.83009,0.0298,0.0015644,0.0015644,0.0015644
24,6668.67,1.57768,1.63478,0.02043,0.49882,0.18984,0.19086,0.07296,2.54404,3.97241,0.02822,0.0015446,0.0015446,0.0015446
25,6908.49,1.57332,1.62377,0.02043,0.60807,0.1543,0.1849,0.06972,2.56065,4.12133,0.0288,0.0015248,0.0015248,0.0015248
26,7270.27,1.56144,1.58052,0.02022,0.40457,0.24659,0.22454,0.09308,2.54306,3.9539,0.028,0.001505,0.001505,0.001505
27,7502.34,1.57422,1.572,0.02049,0.5143,0.15668,0.17854,0.07711,2.54452,4.05273,0.02844,0.0014852,0.0014852,0.0014852
28,7731.2,1.56314,1.5613,0.02046,0.59245,0.25549,0.26083,0.11152,2.55518,3.75802,0.02817,0.0014654,0.0014654,0.0014654
29,7975.09,1.554,1.58676,0.02039,0.63804,0.17984,0.20807,0.08035,2.60254,3.98825,0.02849,0.0014456,0.0014456,0.0014456
